S/N,Year,Site Location,Date of Cleanup,Organization,Name of Organiser,Total number of participants,Total number of trash bags filled,Weight of trash bags collected (kg),Total Distance (metres),DEBRIS SUMMARY,Most Likely to Find Items,Fishing Gear,Packaging Materials,Other Trash,Personal Hygiene,Items of Local Concern,TOTAL ITEMS,Most Likely to Find Items,Most Likely to Find Items.Cigarette Butts,"Most Likely to Find Items.Food Wrappers (candy, chips, etc)",Most Likely to Find Items.Take Out Containers (plastic),Most Likely to Find Items.Take Out Containers (foam),Most Likely to Find Items.Bottle Caps (plastic),Most Likely to Find Items.Bottle Caps (metal),Most Likely to Find Items.Lids (plastic),Most Likely to Find Items.Straws/Stirrers,"Most Likely to Find Items.Forks, Knives, Spoons",Most Likely to Find Items.Beverage Bottles (plastic),Most Likely to Find Items.Beverage Bottles (glass),Most Likely to Find Items.Beverage Cans,Most Likely to Find Items.Grocery Bags (plastic),Most Likely to Find Items.Other Plastic Bags,Most Likely to Find Items.Paper Bags,Most Likely to Find Items.Cups & Plates (paper),Most Likely to Find Items.Cups & Plates (plastic),Most Likely to Find Items.Cups & Plates (foam),Fishing Gear.Fishing Gear,Fishing Gear.Fishing Buoys,Fishing Gear.Fishing Net & Pieces,Fishing Gear.Rope (1 meter = 1 piece),Fishing Gear.Fishing line ( 1 meter = 1 piece),Other Trash.Other Trash,"Other Trash.Appliances (fridges, washers, etc)",Other Trash.Balloons,Other Trash.Cigar Tips,Other Trash.Cigarette Lighters,Other Trash.Construction Materials,Other Trash.Fireworks,Other Trash.Tyres,Items of Local Concern,Items of Local Concern.Foam Pieces,Items of Local Concern.Glass Pieces,Items of Local Concern.Plastic Pieces,Items of Local Concern.Rubber Bands,Packaging Materials,Packaging Materials.6-pack holders,Packaging Materials.Other Plastic / Foam Packaging,"Packaging Materials.Other Plastic Bottles (oil, bleach, etc)",Packaging Materials.Strapping bands,Packaging Materials.Tobacco Packaging / Wrappers,Personal Hygiene,Personal Hygiene.Condoms,Personal Hygiene.Diapers,Personal Hygiene.Syringes,Personal Hygiene.Tampons / Tampon Applicators,Dead / Injured Animals,Dead / Injured Animals.What Animal?,Dead / Injured Animals.Dead or Injured?,Dead / Injured Animals.Is the animal entangled? Entangled by what?,Comments
220,2017,Jelutong Beach (Pulau Ubin East excl. Chek Jawa),"Saturday, 23 September 2017",NUS Trees N Trunks 17,Chong Zhen Yi,15,13,63,100,1413,884,23,67,37,1,401,1413,884,5,61,92,6,114,0,37,97,77,166,19,14,24,103,3,2,64,0,23,3,1,10,9,37,0,1,5,25,3,0,3,401,141,29,194,37,67,0,39,19,7,2,1,0,0,0,1,,NIL,,,
221,2017,Ubin Jetty Beach (Pulau Ubin East excl. Chek Jawa),"Saturday, 23 September 2017",Tata Consultancy Services Asia Pacific Pte Ltd,Tata Consultancy Services Asia Pacific Pte Ltd,16,11,147,100,884,641,60,63,23,3,94,884,641,24,50,57,0,62,14,37,100,37,57,17,19,24,38,6,12,57,30,60,10,20,25,5,23,0,0,8,11,4,0,0,94,7,46,39,2,63,0,38,22,1,2,3,0,0,2,1,,Crabs (2),,,
222,2017,Chek Jawa North 1 and 2,"Saturday, 9 September 2017",Bedok South Secondary School (BDS) + NUS Bachelor of Environme,Edzra (BDS) and Ernest (BES),34 (BDS) + 39 (BES),50,438,250,1233,545,39,295,4,0,350,1233,545,0,3,2,0,3,0,3,3,4,291,79,18,57,71,0,0,8,3,39,0,2,37,0,4,0,0,0,0,1 bucket,0,4,350,325,8,17,0,295,0,282,13,0,0,0,0,0,0,0,,Skull of animal,,,
223,2017,Chek Jawa North 1 and 2,"Saturday, 9 September 2017",Bedok South Secondary School (BDS) + NUS Bachelor of Environme,Edzra (BDS) and Ernest (BES),73,50,438,250,1233,545,39,295,4,0,350,1233,545,0,3,2,0,3,0,3,3,4,291,79,18,57,71,0,0,8,3,39,0,2,37,0,4,0,0,0,0,1 bucket,0,4,350,325,8,17,0,295,0,282,13,0,0,0,0,0,0,0,,Skull of animal,,,
224,2017,Chek Jawa Central 1,"Saturday, 9 September 2017",Queenstown 03 Barracuda Sea Venture Scouts,Josh Goh,16,11,38,100,503,292,1,29,8,1,172,503,292,0,30,17,2,3,0,1,4,2,123,9,6,5,23,0,6,14,47,1,1,0,0,0,8,3,0,0,4,1,0,0,172,120,20,32,0,29,0,19,3,0,7,1,1,0,0,0,,Nil,,,
225,2017,Chek Jawa Central 1 & 2,"Saturday, 9 September 2017","University Scholars Programme, NUS",Leung Wing Sze,8,5,49,15,423,203,14,40,16,1,149,423,203,2,29,5,5,9,1,3,14,7,31,15,1,16,41,0,0,15,9,14,0,4,10,0,16,0,2,1,4,9,0,0,149,54,49,45,1,40,0,21,7,10,2,1,0,0,1,0,,Nil,,,
226,2017,Chek Jawa Central 3-4,"Saturday, 9 September 2017",Catholic High School,Ng Se Yean / Claire Tan,17,41,187,50,1624,1047,20,185,23,0,349,1624,1047,0,86,35,6,41,1,19,20,21,377,26,14,103,184,14,19,49,32,20,0,11,9,0,23,0,3,0,14,5,0,1,349,128,6,212,3,185,0,123,59,2,1,0,0,0,0,0,,Nil,,,
227,2017,Chek Jawa South 1 - 3,"Saturday, 9 September 2017",Sukyo Mahikari,Michelle Lau,42,46,194,150,2326,1727,19,152,44,0,384,2326,1727,3,119,76,22,153,16,58,129,70,542,87,26,25,181,50,21,120,29,19,2,11,6,0,44,0,2,1,18,14,0,9,384,240,16,121,7,152,0,102,39,4,7,0,0,0,0,0,,Nil,,,
282,2016,Chek Jawa North 1,"Saturday, 3 September 2016",Bedok South Secondary School,Edzra Iskandar,25,55,259,250,858,707,53,50,1,0,47,858,707,27,4,65,43,213,0,25,8,37,210,3,3,57,12,0,0,0,0,53,0,3,5,45,1,0,0,0,0,0,0,1,47,2,0,45,0,50,0,34,16,0,0,0,0,0,0,0,,Horseshoe Crab,,,
283,2016,Chek Jawa North 2,"Saturday, 3 September 2016",Little Green Men,Sarah Bennett,33,45,229,50,1099,642,5,97,10,1,344,1099,642,2,44,6,6,19,2,6,70,6,438,23,6,5,0,0,0,6,3,5,2,0,3,0,10,1,0,0,1,1,1,6,344,139,123,71,11,97,0,39,57,0,1,1,0,1,0,0,,NIL,,,
284,2016,Chek Jawa South 1 - 3,"Saturday, 3 September 2016",Sukyo Mahikari,Patrick Sng,32,40,207,150,1818,1134,32,291,56,1,304,1818,1134,1,100,47,15,33,0,10,63,27,310,22,37,112,240,3,0,91,23,32,0,16,16,0,56,0,2,0,14,22,0,18,304,75,15,213,1,291,2,201,79,4,5,1,0,1,0,0,,NIL,,,
285,2016,Chek Jawa South 4-5,3rd September 2016,NorthLight School,Cynthia Foong,12,10,68,50,515,404,0,88,4,2,17,515,404,0,113,5,1,2,0,1,20,2,20,2,6,6,169,0,2,55,0,0,0,0,0,0,4,0,1,0,1,2,0,0,17,0,2,14,1,88,0,70,2,2,14,2,0,0,0,2,,NIL,,,
286,2016,Chek Jawa South 6,"Saturday, 3 September 2016",Oscar & Friends,Oscar,38,27,215,100,1813,311,32,12,3,0,1455,1813,311,0,45,78,0,54,0,2,3,4,88,17,4,13,0,0,0,1,2,32,1,5,26,0,3,1,0,0,0,1,0,1,1455,1276,13,166,0,12,0,0,10,2,0,0,0,0,0,0,,NIL,,,
