S/N,Year,Site Location,Date of Cleanup,Organization,Name of Organiser,Total number of participants,Total number of trash bags filled,Weight of trash bags collected (kg),Total Distance (metres),DEBRIS SUMMARY,Most Likely to Find Items,Fishing Gear,Packaging Materials,Other Trash,Personal Hygiene,Items of Local Concern,TOTAL ITEMS,Most Likely to Find Items,Most Likely to Find Items.Cigarette Butts,"Most Likely to Find Items.Food Wrappers (candy, chips, etc)",Most Likely to Find Items.Take Out Containers (plastic),Most Likely to Find Items.Take Out Containers (foam),Most Likely to Find Items.Bottle Caps (plastic),Most Likely to Find Items.Bottle Caps (metal),Most Likely to Find Items.Lids (plastic),Most Likely to Find Items.Straws/Stirrers,"Most Likely to Find Items.Forks, Knives, Spoons",Most Likely to Find Items.Beverage Bottles (plastic),Most Likely to Find Items.Beverage Bottles (glass),Most Likely to Find Items.Beverage Cans,Most Likely to Find Items.Grocery Bags (plastic),Most Likely to Find Items.Other Plastic Bags,Most Likely to Find Items.Paper Bags,Most Likely to Find Items.Cups & Plates (paper),Most Likely to Find Items.Cups & Plates (plastic),Most Likely to Find Items.Cups & Plates (foam),Fishing Gear.Fishing Gear,Fishing Gear.Fishing Buoys,Fishing Gear.Fishing Net & Pieces,Fishing Gear.Rope (1 meter = 1 piece),Fishing Gear.Fishing line ( 1 meter = 1 piece),Other Trash.Other Trash,"Other Trash.Appliances (fridges, washers, etc)",Other Trash.Balloons,Other Trash.Cigar Tips,Other Trash.Cigarette Lighters,Other Trash.Construction Materials,Other Trash.Fireworks,Other Trash.Tyres,Items of Local Concern,Items of Local Concern.Foam Pieces,Items of Local Concern.Glass Pieces,Items of Local Concern.Plastic Pieces,Items of Local Concern.Rubber Bands,Packaging Materials,Packaging Materials.6-pack holders,Packaging Materials.Other Plastic / Foam Packaging,"Packaging Materials.Other Plastic Bottles (oil, bleach, etc)",Packaging Materials.Strapping bands,Packaging Materials.Tobacco Packaging / Wrappers,Personal Hygiene,Personal Hygiene.Condoms,Personal Hygiene.Diapers,Personal Hygiene.Syringes,Personal Hygiene.Tampons / Tampon Applicators,Dead / Injured Animals,Dead / Injured Animals.What Animal?,Dead / Injured Animals.Dead or Injured?,Dead / Injured Animals.Is the animal entangled? Entangled by what?,Comments
302,2016,Changi Beach Site 2,"Saturday, 17 September 2016",Inland Revenue Authority Singapore,Guna,24,8,13,600,3415,2895,6,88,19,0,407,3415,2895,2394,250,6,6,58,42,3,59,17,11,1,0,8,24,7,2,5,2,6,0,1,0,5,19,0,3,0,6,0,10,0,407,98,15,205,89,88,1,64,2,8,13,0,0,0,0,0,,NIL,,,
303,2016,Changi Beach 3,"Saturday, 17 September 2016",Compassvale Secondary School,Siew Woon,132,27,42,800,2231,585,70,500,82,5,989,2231,585,293,63,0,2,41,7,9,23,11,24,4,4,11,49,21,5,5,13,70,1,17,5,47,82,3,2,58,3,16,0,0,989,804,29,138,18,500,0,479,3,9,9,5,5,0,0,0,,NIL,,,
304,2016,Changi Beach 3,"Saturday, 17 September 2016",Colugo Cubs & DCIS Cubs,Louise Shenton,67,28,265,100,1613,940,46,53,113,2,459,1613,940,439,146,7,83,33,8,7,41,15,15,11,11,44,48,20,6,5,1,46,6,12,15,13,113,0,66,0,9,32,6,0,459,228,27,191,13,53,3,35,1,5,9,2,1,0,1,0,,Cat Fish,,,
305,2016,Changi Beach 4,"Saturday, 17 September 2016",Corbion Purac Asia Pacific,Anh Linh Nguyen,17,4,2,300,563,213,41,34,1,0,274,563,213,92,65,0,0,13,2,3,13,2,3,1,0,0,14,1,0,0,4,41,1,12,7,21,1,0,0,0,1,0,0,0,274,178,2,79,15,34,0,29,0,2,3,0,0,0,0,0,,NIL,,,
306,2016,Changi Beach Site 4,"Saturday, 17 September 2016",Naval Base Secondary School,"Teo Ann Peng, Simon",78,17,39,800,3352,1383,116,160,142,1,1550,3352,1383,745,188,21,34,122,8,22,60,16,19,3,10,10,69,17,0,5,34,116,2,14,22,78,142,1,22,11,7,91,10,0,1550,1028,24,489,9,160,2,108,0,17,33,1,1,0,0,0,,Prawn,,,
307,2016,Changi Beach Site 4,"Saturday, 17 September 2016",PacificLight Power Pte Ltd ,Corey Kor ,4,5,21,200,152,119,16,11,6,0,0,152,119,45,11,3,1,5,0,0,0,0,44,0,5,0,0,0,0,5,0,16,0,10,6,0,6,0,0,0,0,6,0,0,0,0,0,0,0,11,0,0,6,0,5,0,0,0,0,0,,NIL,,,
308,2016,Changi Beach Site 4,"Saturday, 17 September 2016",Ricoh Singapore Pte Ltd,Environment Team from Ricoh Singapore Pte Ltd,36,5,52,150,1052,592,28,56,7,2,367,1052,592,442,13,5,1,24,5,9,11,6,5,1,3,9,21,21,5,7,4,28,1,3,8,16,7,0,1,0,6,0,0,0,367,180,0,170,17,56,0,42,1,1,12,2,0,2,0,0,,NIL,,,
309,2016,Changi Beach Site 4,"Friday, 2 September 2016",ST Dynamics Pte Ltd,Darren Tan Lian Sing,20,6,13,500,860,498,16,31,8,4,303,860,498,320,32,4,0,30,7,3,23,9,2,1,0,5,49,8,1,4,0,16,0,3,1,12,8,0,0,0,2,6,0,0,303,147,16,126,14,31,0,26,0,4,1,4,0,0,0,4,,NIL,,,
310,2016,Changi Beach 4,"Saturday, 17 September 2016",Thomson Reuters,Lim Wern Li,40,17,35.8,800,2283,1147,46,103,78,0,909,2283,1147,781,46,16,11,52,18,15,35,16,64,8,7,13,36,12,0,10,7,46,0,14,13,19,78,0,0,36,3,15,24,0,909,534,6,336,33,103,0,69,0,26,8,0,0,0,0,0,,Fish,,,
326,2015,Changi Beach 4,"Thursday, 10 September 15",ITE College West,Anna Poorani,135,8,40,1500,1298,868,46,45,49,7,283,1298,868,471,67,3,12,111,13,11,45,17,25,9,2,26,18,14,7,11,6,46,1,7,15,23,49,0,8,24,8,7,1,1,283,170,18,83,12,45,0,22,0,1,22,7,5,2,0,0,,Crab,,,
327,2015,Changi Beach 4,"Thursday, 10 September 15",ST Dynamics Pte Ltd,Stephen Sim Chin Hock,27,7,26,400,708,423,39,11,30,0,205,708,423,231,45,1,2,41,7,14,35,8,7,4,1,5,18,1,1,1,1,39,1,6,15,17,30,0,1,1,10,17,1,0,205,77,15,100,13,11,0,3,1,6,1,0,0,0,0,0,,Nil,,,
